,round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,optimizer,shapes,weight_regulizer
423,100,9.178948802659008,0.42424242424242425,8.043752009288854,0.49544863459037713,<function relu at 0x7f1605d950d0>,2,0.0,,100,64,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.1875,<class 'keras.optimizers.Nadam'>,brick,
424,150,0.35994584188853024,0.8393939393939394,0.37641155755631267,0.8322496749024707,<function relu at 0x7f1605d950d0>,1,0.0,,150,16,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.1875,<class 'keras.optimizers.Adam'>,funnel,
425,50,0.3540436365192749,0.8333333333333334,0.3880169684443462,0.8192457737321196,<function elu at 0x7f1605d95158>,1,0.0,,50,32,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Adam'>,brick,
426,100,0.6919188170722037,0.5757575757575758,0.693996876284422,0.46553966189856955,<function relu at 0x7f1605d950d0>,2,0.0,,100,8,2,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.3125,<class 'keras.optimizers.Nadam'>,funnel,
427,100,0.363308164070953,0.8484848484848485,0.43400284108646475,0.8010403120936281,<function elu at 0x7f1605d95158>,2,0.0,,100,8,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.75,<class 'keras.optimizers.Nadam'>,brick,
428,100,0.6920007434758273,0.5757575757575758,0.6932228281997115,0.48634590377113135,<function relu at 0x7f1605d950d0>,2,0.0,,100,8,5,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Nadam'>,funnel,
429,150,0.3293437668930203,0.8636363636363636,0.34097428907480726,0.8478543563068921,<function elu at 0x7f1605d95158>,2,0.0,,150,8,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Nadam'>,funnel,
430,50,0.32276612985879183,0.8545454615896398,0.41505550738225444,0.7971391510436376,<function elu at 0x7f1605d95158>,3,0.0,,50,64,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.75,<class 'keras.optimizers.Adam'>,brick,
431,100,0.6911439498265585,0.5757575757575758,0.6936111175037329,0.4720416124837451,<function relu at 0x7f1605d950d0>,1,0.0,,100,64,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.1875,<class 'keras.optimizers.Adam'>,funnel,
432,50,0.3439763255691188,0.8575757575757575,0.4218504049095386,0.8062418725617685,<function relu at 0x7f1605d950d0>,1,0.0,,50,16,2,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Adam'>,brick,
433,50,0.39690155724608533,0.8212121212121212,0.44405135059088724,0.8036410923276983,<function elu at 0x7f1605d95158>,1,0.0,,50,64,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Nadam'>,funnel,
434,150,0.3614142893051559,0.8424242424242424,0.45122688944700073,0.8036410923276983,<function elu at 0x7f1605d95158>,2,0.0,,150,32,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,4.4375,<class 'keras.optimizers.Adam'>,brick,
435,150,0.3229028779392441,0.8515151515151516,0.3296135001799506,0.8530559167750326,<function elu at 0x7f1605d95158>,2,0.0,,150,16,2,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Nadam'>,funnel,
